ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
305;Công Ty TNHH Bao Bì PHP;TP.HCM;DN trong nước;18;12;2024;2;0;Xuất bản - In ấn;Nhân Viên Chế Bản - Hồ Chí Minh;Chuyên viên- nhân viên;8000000 - 20000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-che-ban-ho-chi-minh.html
306;Công Ty Tnhh Thịnh Phúc Hưng;Hưng Yên;DN trong nước;23;12;2024;15;0;Lao động phổ thông;Công Nhân Làm Đồ Gỗ;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/cong-nhan-lam-do-go.html
307;Công Ty TNHH Bệnh Viện Hùng Vương Gia Lai;N/A;DN trong nước;23;12;2024;20;0;Y tế - Chăm sóc sức khỏe;Nhân Viên Điều Dưỡng - Làm Việc Tại Gia Lai;Chuyên viên- nhân viên;8000000 - 10000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-dieu-duong-lam-viec-tai-gia-lai.html
308;Công Ty TNHH Bệnh Viện Hùng Vương Gia Lai;N/A;DN trong nước;23;12;2024;20;0;Y tế - Chăm sóc sức khỏe;Bác Sĩ Làm Việc Tại Gia Lai;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/bac-si-lam-viec-tai-gia-lai.html
309;Công Ty TNHH TMDV Xuất Nhập Khẩu Phúc Trang;TP.HCM;DN trong nước;22;12;2024;3;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Cửa Hàng - Nhận Việc Trước Tết;Quản lý nhóm- giám sát;20000000 - 50000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cua-hang-nhan-viec-truoc-tet.html
310;Công Ty Cổ Phần Trục Vớt Và Nạo Vét Tân Cảng;N/A;DN trong nước;23;12;2024;2;2;Xây dựng;Kỹ Sư Trắc Địa - Thu Nhập 15 - 30 Triệu;Chuyên viên- nhân viên;9000000 - 14000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-trac-dia-thu-nhap-15-30-trieu.html
311;Công Ty TNHH MTV Cơ Khí Vinh Khoa;Bình Dương;DN trong nước;23;12;2024;2;2;Cơ khí - Ô tô - Tự động hóa;Kỹ Sư Thiết Kế Cơ Khí Tự Động Hóa - Đi Làm Ngay;Chuyên viên- nhân viên;15000000 - 30000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-thiet-ke-co-khi-tu-dong-hoa-di-lam-ngay.html
312;Công Ty TNHH MTV TM DV KT Nhật Minh Thành;Bà Rịa - Vũng Tàu;DN trong nước;23;12;2024;1;1;Vận hành - Bảo trì - Bảo dưỡng;Nhân Viên Vận Hành - Phỏng Vấn Đi Làm Ngay;Chuyên viên- nhân viên;10000000 - 18000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-phong-van-di-lam-ngay.html
313;Công Ty Cổ Phần La Hán Hoàng Phát;Hà Nội;DN trong nước;23;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;8000000 - 12000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-khong-yeu-cau-kinh-nghiem.html
314;Mộc Hương Spa;TP.HCM;DN trong nước;23;12;2024;6;0;Hành chính - Thư ký;Nhân Viên Nam  Lễ Tân Spa Biết Tiếng Anh- Đi Làm Ngay;Chuyên viên- nhân viên;10000000 - 50000000;Trung học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-nam-le-tan-spa-biet-tieng-anh-di-lam-ngay.html
315;Công Ty TNHH Thương Mại Dịch Vụ Xây Dựng KMA;TP.HCM;DN trong nước;23;12;2024;1;1;Xây dựng;Kỹ Sư MEP - Đi Làm Ngay;Chuyên viên- nhân viên;8000000 - 15000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-mep-di-lam-ngay.html
316;Công Ty Cổ Phần Vitenda An Lộc Phát;Hà Nội;DN trong nước;23;12;2024;4;4;Sản xuất - Lắp ráp - Chế biến;Thợ Sửa Chữa Điện Tử Công Suất, Lắp Ráp Tủ Điện Robot;Chuyên viên- nhân viên;12000000 - 14000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-sua-chua-dien-tu-cong-suat-lap-rap-tu-dien-robot.html
317;Công Ty TNHH Vận Tải Yunyi Việt Nam;TP.HCM;DN trong nước;16;12;2024;2;0;Marketing;Nhân Viên Marketing Online (Biết Tiếng Trung);Chuyên viên- nhân viên;12000000 - 18000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-marketing-online-biet-tieng-trung.html
318;Công Ty TNHH Đồng Thanh;Hà Nội;DN trong nước;23;12;2024;5;0;Lao động phổ thông;Thợ Mộc + Sơn;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-moc-son.html
319;Công Ty TNHH Sản Xuất - Thương Mại - Dịch Vụ Bm;TP.HCM;DN trong nước;23;12;2024;2;0;Kế toán;Nhân Viên Kế Toán Kho Điều Phối Hàng;Chuyên viên- nhân viên;7000000 - 15000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-kho-dieu-phoi-hang.html
320;Công Ty TNHH Thời Trang Hda Việt Nam (Nhãn Hàng Thời Trang Nam – Guzado);Hà Nội;DN trong nước;6;12;2024;2;0;Thiết kế - Sáng tạo nghệ thuật;Nhân Viên Thiết Kế Thời Trang Nam (Lương Trên 10 -20 Triệu);Chuyên viên- nhân viên;6000000 - 10000000;Chứng chỉ;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thiet-ke-thoi-trang-nam-luong-tren-10-20-trieu.html
321;Công Ty TNHH Bmo Int;TP.HCM;DN trong nước;21;12;2024;1;0;IT Phần cứng - Mạng;Lập Trình Viên (Chuyên Servo, Đặc Biệt Delta);Chuyên viên- nhân viên;10000000 - 20000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/lap-trinh-vien-chuyen-servo-dac-biet-delta.html
322;Công Ty Cổ Phần Haco Việt Nam;Hà Nội;DN trong nước;22;12;2024;2;0;Kế toán;Nhân Viên Kế Toán Tổng Hợp;Chuyên viên- nhân viên;15000000 - 25000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-tong-hop.html
323;Công Ty TNHH Fil Việt Nam;Hà Nội;DN trong nước;21;12;2024;2;0;Bán hàng - Kinh doanh;Sales Engineer - Cung Cấp Giải Pháp Thiết Bị Cho Nhà Máy Công Nghiệp;Chuyên viên- nhân viên;15000000 - 18000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/sales-engineer-cung-cap-giai-phap-thiet-bi-cho-nha-may-cong-nghiep.html
324;Chi Nhánh Công Ty Cổ Phần Sản Xuất, Thương Mại Và Dịch Vụ Ô Tô Ptm;Đồng Nai;DN trong nước;21;12;2024;1;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Trưởng Phòng Đào Tạo Kinh Doanh;Quản lý cấp trung;10000000 - 20000000;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-dao-tao-kinh-doanh.html
325;Công Ty TNHH Thang Máy Việt Trí;TP.HCM;DN trong nước;20;12;2024;2;2;Cơ khí - Ô tô - Tự động hóa;Nhân Viên Vận Hành Máy Laser - Quận Bình Tân (Đi Làm Ngay);Chuyên viên- nhân viên;15000000 - 20000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-may-laser-quan-binh-tan-di-lam-ngay.html
326;Công Ty Cổ Phần Cơ Điện Hợp Nhất;TP.HCM;DN trong nước;20;12;2024;3;0;IT Phần mềm;Kỹ Sư Đấu Nối \u0026 Lập Trình Hệ Thống T\u0026c;Chuyên viên- nhân viên;9000000 - 15000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-dau-noi-lap-trinh-he-thong-t-c.html
327;Công Ty TNHH Nexgen Bros;TP.HCM;DN trong nước;20;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Chăm Sóc Khách Hàng Sàn TMĐT (Thủ Đức);Cộng tác viên;9000000 - 12000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-san-tmdt-thu-duc.html
328;Công Ty TNHH Fannam;Hà Nội;DN trong nước;20;12;2024;1;0;Hành chính - Thư ký;Nhân Viên Lễ Tân (Có Ngoại Hình - Nữ - Không Yêu Cầu Kinh Nghiệm);Chuyên viên- nhân viên;7000000 - 10000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-le-tan-co-ngoai-hinh-nu-khong-yeu-cau-kinh-nghiem.html
329;Công Ty TNHH SX Đồng Phát;TP.HCM;DN trong nước;20;12;2024;5;0;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Đứng Máy - Đi Làm Ngay;Chuyên viên- nhân viên;9000000 - 11000000;Đại học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-dung-may-di-lam-ngay.html
330;Công Ty TNHH Quà Tặng Cảm Xúc;Hà Nội;DN trong nước;20;12;2024;2;0;Thu mua - Kho Vận - Chuỗi cung ứng;Nhân Viên Mua Hàng Tiếng Trung - Đi Làm Ngay;Chuyên viên- nhân viên;8000000 - 12000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-mua-hang-tieng-trung-di-lam-ngay.html
331;Công Ty Cổ Phần Maison Retail Management International;TP.HCM;DN trong nước;20;12;2024;3;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;HCM - Nhân Viên Bán Hàng Kiêm Thu Ngân - Gigi (Thời Trang Nữ);Chuyên viên- nhân viên;15000000 - 25000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/hcm-nhan-vien-ban-hang-kiem-thu-ngan-gigi-thoi-trang-nu.html
332;Công Ty TNHH Better Thing;TP.HCM;DN trong nước;18;12;2024;5;5;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh;Chuyên viên- nhân viên;5000000 - 7000000;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh.html
333;Công Ty TNHH Thương Mại Sản Xuất Và Xuất Nhập Khẩu Chica Plus;Hà Nội;DN trong nước;20;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh- Đi Làm Ngay;Chuyên viên- nhân viên;8000000 - 15000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-di-lam-ngay.html
334;Công Ty TNHH Nhãn Hiệu Toàn Cầu Lac (Vietnam);TP.HCM;DN trong nước;20;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Bán Hàng [Quận 1 Saigon Center, Takashimaya, Quận 7- Sc Vivo City];Chuyên viên- nhân viên;10000000 - 20000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-quan-1-saigon-center-takashimaya-quan-7-sc-vivo-city.html
335;Công Ty TNHH Dược Phẩm Ích Nhân;Hà Nội;DN trong nước;20;12;2024;1;0;Marketing;Trưởng Nhóm Phát Triển Thương Mại Điện Tử – Khu Vực Hà Nội (Phỏng Vấn Đi Làm Ngay);Quản lý cấp trung;8000000 - 15000000;N/A;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-nhom-phat-trien-thuong-mai-dien-tu-khu-vuc-ha-noi-phong-van-di-lam-ngay.html
336;Công Ty TNHH Dược Phẩm Ích Nhân;Hà Nội;DN trong nước;20;12;2024;1;0;Kế toán;Nhân Viên Kế Toán Thuế Và Bán Hàng (7 Tháng) - Khu Vực Hà Nội (Phỏng Vấn Đi Làm Ngay);Chuyên viên- nhân viên;30000000 - 40000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-thue-va-ban-hang-7-thang-khu-vuc-ha-noi-phong-van-di-lam-ngay.html
337;Công Ty TNHH In Ấn Tailong;TP.HCM;DN trong nước;19;12;2024;1;0;Marketing;Nhân Viên Thiết Kế;Chuyên viên- nhân viên;11000000 - 13000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thiet-ke.html
338;Công Ty Tnhh Sản Xuất Và Dịch Vụ Thương Mại Trung Kiên;Vĩnh Phúc;DN trong nước;18;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp (Thuế);Chuyên viên- nhân viên;13000000 - 15000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-thue.html
339;Công Ty Tnhh Sản Xuất Và Dịch Vụ Thương Mại Trung Kiên;Vĩnh Phúc;DN trong nước;18;12;2024;1;0;Kế toán;Trưởng Phòng Hành Chính Kế Toán;Quản lý cấp trung;9000000 - 15000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-hanh-chinh-ke-toan.html
340;Công Ty TNHH Máy Và Thiết Bị Công Nghiệp Fuji Việt Nam;Hà Nội;DN trong nước;20;12;2024;1;0;Kế toán;Nhân Viên Kế Toán Tổng Hợp - Đi Làm Ngay;Chuyên viên- nhân viên;13000000 - 20000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-tong-hop-di-lam-ngay.html
341;Công Ty TNHH Imiti;Bình Dương;DN trong nước;17;12;2024;2;2;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Kế Hoạch (Ngành Gỗ Nội Thất);Chuyên viên- nhân viên;12000000 - 15000000;Chứng chỉ;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-hoach-nganh-go-noi-that.html
342;Công Ty TNHH Sàn Giao Dịch Bất Động Sản Shb Việt Nam;Hà Nội;DN trong nước;20;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Bds Được Hỗ Trợ Marketing 100%;Chuyên viên- nhân viên;10000000 - 15000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-bds-duoc-ho-tro-marketing-100.html
343;Công Ty TNHH Tư Vấn Thiết Kế Xây Dựng Thương Mại Gia Định;Bình Dương;DN trong nước;19;12;2024;2;0;Xây dựng;Kỹ Sư Cấp Thoát Nước;Chuyên viên- nhân viên;10000000 - 300000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-cap-thoat-nuoc.html
344;Công Ty TNHH Xây Dựng Trường Xuân;N/A;DN trong nước;19;12;2024;2;0;Xây dựng;Kỹ Sư Trắc Đạc;Chuyên viên- nhân viên;10000000 - 16000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-trac-dac.html
345;Công Ty TNHH FEDDY ;Đồng Nai;DN trong nước;19;12;2024;1;0;Sản xuất - Lắp ráp - Chế biến;Chuyên Viên Điện Lạnh;Chuyên viên- nhân viên;13000000 - 20000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-dien-lanh.html
346;Công ty TNHH Manulife ( Việt Nam );N/A;DN trong nước;5;12;2024;4;0;Tài chính - Đầu tư - Chứng Khoán;Nhân Viên Tư Vấn Bảo Hiểm Kênh Ngân Hàng Vietinbank;Chuyên viên- nhân viên;13000000 - 16000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-bao-hiem-kenh-ngan-hang-vietinbank.html
347;Công Ty TNHH Giáo Dục Quốc Tế Wingo;Đắk Lắk;DN trong nước;19;12;2024;3;0;Giáo dục - Đào tạo;Trưởng Phòng Tuyển Sinh;Quản lý nhóm- giám sát;15000000 - 20000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-tuyen-sinh.html
348;Quỹ Tín Dụng Nhân Dân Đức Hòa;Long An;DN trong nước;19;12;2024;5;0;Tài chính - Đầu tư - Chứng Khoán;Nhân Viên Tín Dụng - Nhận Việc Ngay;Chuyên viên- nhân viên;15000000 - 50000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tin-dung-nhan-viec-ngay.html
349;Công Ty TNHH Bảo Hiểm Nhân Thọ Fwd Việt Nam;N/A;DN trong nước;19;12;2024;10;0;Bán hàng - Kinh doanh;Chuyên Viên Tư Vấn Bảo Hiểm;Chuyên viên- nhân viên;7000000 - 8000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-tu-van-bao-hiem.html
350;Công Ty TNHH Thang Máy Schneider Việt Nam;TP.HCM;DN trong nước;19;12;2024;2;0;Vận hành - Bảo trì - Bảo dưỡng;Kỹ Thuật Viên Bảo Trì Thang Máy;Chuyên viên- nhân viên;10000000 - 20000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-vien-bao-tri-thang-may.html
351;Công Ty TNHH Xây Dựng Và Thương Mại Đức Nam;Hà Nội;DN trong nước;19;12;2024;1;0;Nhân sự;Nhân Viên Nhân Sự Tổng Hợp - Nhân Việc Đi Làm Ngay;Chuyên viên- nhân viên;8000000 - 12000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-nhan-su-tong-hop-nhan-viec-di-lam-ngay.html
352;Công Ty TNHH Kinh Doanh Dịch Vụ Thương Mại Hpb;Hà Nội;DN trong nước;21;11;2024;3;0;Lao động phổ thông;Nhân Viên Phụ Bếp Tại Hoàn Kiếm, Hà Nội;Chuyên viên- nhân viên;10000000 - 15000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phu-bep-tai-hoan-kiem-ha-noi.html
353;Công ty TNHH Nhất Nước;Hà Nội;DN trong nước;21;11;2024;2;0;Xây dựng;Cán Bộ Hồ Sơ Thầu, Thanh Quyết Toán (QS);Chuyên viên- nhân viên;8000000 - 10000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/can-bo-ho-so-thau-thanh-quyet-toan-qs.html
354;Công Ty TNHH Điện Lạnh Saigon;TP.HCM;DN trong nước;19;12;2024;3;3;Vận Tải - Lái xe - Giao nhận;Tài Xế Lái Xe Cẩu Đi Làm Ngay;Chuyên viên- nhân viên;10000000 - 15000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tai-xe-lai-xe-cau-di-lam-ngay.html
355;Công Ty Cổ Phần Sữa TH;Nghệ An;DN trong nước;20;11;2024;3;3;Vận hành - Bảo trì - Bảo dưỡng;Nhân Viên Kỹ Thuật Viên Bảo Trì Điện;Chuyên viên- nhân viên;10000000 - 12000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-vien-bao-tri-dien.html
356;Công Ty Cổ Phần Khoa Học Doit;Hà Nội;DN trong nước;18;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Mảng Y Tế;Chuyên viên- nhân viên;7000000 - 10000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-mang-y-te.html
357;Công Ty TNHH Fannam;Hà Nội;DN trong nước;2;12;2024;1;0;Kiến trúc - Thiết kế nội ngoại thất;Chuyên Viên Thiết Kế Nội Thất;Chuyên viên- nhân viên;8000000 - 30000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-thiet-ke-noi-that.html
358;Công Ty TNHH Hương Phạm -  Thời Trang Scentsun;Hà Nội;DN trong nước;19;12;2024;3;0;Kế toán;Nữ Kế Toán Bán Hàng Thu Nhập Đến 12 Triệu (Chấp Nhận Sinh Viên Mới Ra Trường);Chuyên viên- nhân viên;15000000 - 30000000;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nu-ke-toan-ban-hang-thu-nhap-den-12-trieu-chap-nhan-sinh-vien-moi-ra-truong.html
359;Công Ty Cổ Phần Thang Máy Tâm Thành;Hà Nội;DN trong nước;19;12;2024;5;5;Khoa học - Kỹ thuật;Nhân Viên Kỹ Thuật Vận Hành- Bảo Trì Thang Máy- Được Đào Tạo Cơ Bản;Chuyên viên- nhân viên;7000000 - 12000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-van-hanh-bao-tri-thang-may-duoc-dao-tao-co-ban.html
360;Công Ty TNHH Thủy Sản Blue Bay;Cà Mau;DN trong nước;17;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Sales;Chuyên viên- nhân viên;8000000 - 15000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-sales.html
361;Công Ty TNHH Fannam;Hà Nội;DN trong nước;18;12;2024;2;0;Kiến trúc - Thiết kế nội ngoại thất;Chuyên Viên Kinh Doanh Nội Thất Cao Cấp;Chuyên viên- nhân viên;8000000 - 15000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh-noi-that-cao-cap.html
362;Công Ty Cổ Phần Thương Mại Quốc Tế Mega Dance Int;Hà Nội;DN trong nước;18;12;2024;2;0;Marketing;Nhân Viên Digital Marketing;Chuyên viên- nhân viên;10000000 - 15000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-digital-marketing.html
363;Công Ty Cổ Phần Thương Mại Dịch Vụ Địa Ốc Qtc;N/A;DN trong nước;18;12;2024;10;0;Bán hàng - Kinh doanh;Cộng Tác Viên Kinh Doanh Bất Động Sản Vinhomes - Đi Làm Ngay;Cộng tác viên;10000000 - 20000000;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/cong-tac-vien-kinh-doanh-bat-dong-san-vinhomes-di-lam-ngay.html
364;Công Ty TNHH Gourmet82;TP.HCM;DN trong nước;9;7;2024;2;0;Khách sạn - Nhà hàng - Du lịch;Nữ Thu Ngân Biết Tiếng Hàn / Tiếng Anh (15 - 20 Triệu);Chuyên viên- nhân viên;3000000 - 50000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nu-thu-ngan-biet-tieng-han-tieng-anh-15-20-trieu.html
365;Công Ty CP Quốc Tế Ico;Hà Nội;DN trong nước;18;12;2024;6;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Du Học;Chuyên viên- nhân viên;15000000 - 20000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-du-hoc.html
366;Công Ty TNHH Phú Thanh Xuân;Hải Dương;DN trong nước;18;12;2024;2;0;Xây dựng;Kỹ Sư - Kỹ Thuật Hiện Trường (Hạ Tầng Khu Đô Thị);Chuyên viên- nhân viên;8000000 - 15000000;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-ky-thuat-hien-truong-ha-tang-khu-do-thi.html
367;Công Ty TNHH Phú Thanh Xuân;Hải Dương;DN trong nước;18;12;2024;2;0;Xây dựng;Kỹ Sư QS (Nhân Viên Hồ Sơ Thầu, Thanh Quyết Toán Công Trình);Chuyên viên- nhân viên;15000000 - 20000000;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-qs-nhan-vien-ho-so-thau-thanh-quyet-toan-cong-trinh.html
368;Công Ty TNHH Top 1 Technology;TP.HCM;DN trong nước;17;12;2024;2;0;Tài chính - Đầu tư - Chứng Khoán;Chuyên Viên Phân Tích Kỹ Thuật - Phỏng Vấn Đi Làm Ngay;Chuyên gia;15000000 - 20000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-phan-tich-ky-thuat-phong-van-di-lam-ngay.html
369;Công Ty TNHH T.A.O Bangkok (Việt Nam);Hà Nội;DN trong nước;17;12;2024;5;0;Khoa học - Kỹ thuật;Kỹ Thuật Viên Dịch Vụ Máy In - Service Technician;Chuyên viên- nhân viên;25000000 - 30000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-vien-dich-vu-may-in-service-technician.html
370;Công Ty TNHH Thiết Bị Y Tế \u0026 Sức Khỏe Home Doctor;Hải Phòng;DN trong nước;18;12;2024;2;2;Bán hàng - Kinh doanh;Nhân Viên Bán Hàng Và Chăm Sóc Khách Hàng (Hải Phòng);Chuyên viên- nhân viên;17500000 - 21000000;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-va-cham-soc-khach-hang-hai-phong.html
371;Công Ty Cổ Phần Thành Thành Công - Biên Hòa;Tây Ninh;DN trong nước;18;12;2024;2;0;Thông tin - Truyền thông - Quảng cáo;Chuyên Viên Quản Trị Thương Hiệu (Brand Marketing Executive);Chuyên viên- nhân viên;10000000 - 30000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-quan-tri-thuong-hieu-brand-marketing-executive.html
372;Công Ty TNHH Dệt Dây Và Lắp Ráp Máy In Ưu Mỹ;Bình Dương;DN trong nước;16;12;2024;2;2;Vận hành - Bảo trì - Bảo dưỡng;Nhân Viên Kỹ Thuật Vận Hành Máy In Giấy Gói Quà;Chuyên viên- nhân viên;10000000 - 15000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-van-hanh-may-in-giay-goi-qua.html
373;Công Ty TNHH Nước Giải Khát Coca-Cola Việt Nam;Long An;DN trong nước;18;12;2024;1;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Bán Hàng / Kinh Doanh - Kênh Khách Hàng Trọng Điểm / Horeca (Long An);Chuyên viên- nhân viên;15000000 - 20000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-kinh-doanh-kenh-khach-hang-trong-diem-horeca-long-an.html
